name,reports,latitude,longitude
Adelaide,43,-34.928497,138.601111
Alexandria,8,31.200092,29.918739
Annaba (Bône),5,22.59465,88.36524
Arcachon,1,44.6548,-1.14996
Atchison,6,39.5609,-95.12738
Atlanta,3,33.748997,-84.387985
Barcelona,1,41.385063,2.173404
Bordeaux,14,44.837788,-0.57918
Boston,28,42.360081,-71.058884
Boulogne-sur-Mer,2,50.725231,1.613334
Bourges,19,47.081013,2.398782
Brooklyn,3,40.678177,-73.94416
Brussels,26,50.850346,4.351721
Cherbourg,3,49.633732,-1.622137
Chicago,36,41.878113,-87.629799
Cincinnati,2,39.103119,-84.512016
Colombo,4,6.927079,79.861244
Deming,1,32.2705,-107.75386
Dijon,5,47.327209,5.04404
Florence,1,43.769562,11.255814
Fort Worth,3,32.755489,-97.330765
Galveston,3,29.301348,-94.797699
Geneva,13,46.204391,6.143158
Gerona,3,15.60673,120.59951
Guernsey,18,49.465691,-2.585278
Hutchinson,3,38.07053,-97.9131
Independence,3,39.0911,-94.4155
Indianapolis,3,39.76845,-86.156212
Istanbul (Constantinople),1,41.017058,28.985568
Jersey,3,45.3336,4.94618
Kingston,13,44.233333,-76.5
La Chaux-de-Fonds,3,47.101333,6.825
Lausanne,14,46.519833,6.6335
Liège,16,50.633333,5.566667
London,123,51.507222,-0.1275
Los Angeles,3,34.05,-118.25
Madrid,114,40.383333,-3.716667
Meaux,1,48.9603,2.8883
Mexico City,15,19.433333,-99.133333
New Orleans,65,29.95,-90.08
New York City,90,40.7127,-74.0059
Nice,29,43.7034,7.2663
Oakland,3,37.804444,-122.270833
Oshkosh,3,44.024167,-88.561111
Panama City,12,8.983333,-79.516667
Paris,564,48.8567,2.3508
Philadelphia,4,40.009376,-75.133346
Phoenix,2,33.45,-112.066667
Ponce,4,18.001667,-66.606667
Port-Louis,3,-20.164386,57.504104
Rome,9,41.9,12.5
Salt Lake City,7,40.75,-111.883333
San Francisco,38,37.783333,-122.416667
Spokane,2,47.658889,-117.425
Springfield,4,42.112411,-72.547455
St. Paul,3,44.944167,-93.093611
Strasbourg,7,48.58,7.75
Sumter,3,33.926944,-80.363611
Sydney,62,-33.865,151.209444
Troyes,16,48.2997,4.0792
Turin,15,45.079167,7.676111
Valletta,2,35.884444,14.506944
Washington,2,38.904722,-77.016389
Wichita,5,37.688889,-97.336111
